Well	Field	Cell Number	Top	Left	CircRingAvgIntenRatioCh2	
C1	1	1	11	455	1.48887488571367	
C1	1	2	13	20	1.27180689766992	
C1	1	3	21	116	0.440891187450766	
C1	1	4	34	398	2.01701230918152	
C1	1	5	39	141	0.700495635972432	
C1	1	6	41	94	1.32215834365288	
C1	1	7	58	74	2.49239959216757E-02	
C1	1	8	61	246	0.368991365314683	
C1	1	9	63	199	1.55511742785972	
C1	1	10	63	277	0.273275673479593	
C1	1	11	63	383	0.684853592981468	
C1	1	12	65	444	0.411604258685477	
C1	1	13	73	471	0.878939389045019	
C1	1	14	74	336	0.4333153019148	
C1	1	15	77	178	0.100083876964697	
C1	1	16	77	384	0.964133210917286	
C1	1	17	78	436	0.88702587115852	
C1	1	18	89	78	0.260916660957765	
C1	1	19	97	116	1.38470211153303	
C1	1	20	107	35	0.373488794006788	
C1	1	21	110	145	1.47200811938453	
C1	1	22	112	278	0.823136316727648	
C1	1	23	127	11	0.586735025136254	
C1	1	24	137	116	0.762100008104199	
C1	1	25	142	389	1.13898002362814	
C1	1	26	147	229	0.675168693400248	
C1	1	27	149	339	1.37030751705501	
C1	1	28	150	67	1.09542574972901	
C1	1	29	150	131	2.39221915846155	
C1	1	30	159	174	0.781535279540716	
C1	1	31	170	201	3.64328720907899E-02	
C1	1	32	172	90	1.39348419373591	
C1	1	33	176	227	0.477508095999835	
C1	1	34	183	473	1.32741655485428	
C1	1	35	184	284	1.71603923841898	
C1	1	36	192	408	0.346024888898237	
C1	1	37	200	164	0.506029738139529	
C1	1	38	206	205	0.420539508693222	
C1	1	39	208	22	1.2670905633468	
C1	1	40	208	93	1.8751032729406	
C1	1	41	212	45	1.16054247738333	
C1	1	42	212	333	0.339861595273427	
C1	1	43	213	39	0	
C1	1	44	217	267	0.331154298509034	
C1	1	45	228	166	0.326758106042439	
C1	1	46	233	54	0.247080813172043	
C1	1	47	237	473	0.903590766548361	
C1	1	48	239	258	0.211952184403619	
C1	1	49	244	229	0.540759351529135	
C1	1	50	245	41	0.354338432651686	
C1	1	51	245	357	0.389452790815865	
C1	1	52	262	112	0.431846466139408	
C1	1	53	264	318	0.512724654114549	
C1	1	54	283	364	0.452001372939763	
C1	1	55	285	10	0.175653237393786	
C1	1	56	286	278	0.896534252876098	
