Well	Field	Cell Number	Top	Left	CircRingAvgIntenRatioCh2	
C2	1	1	3	128	0.42906996785	
C2	1	2	4	86	0.408342971186646	
C2	1	3	10	339	0.121937524117874	
C2	1	4	15	13	0.508309759547383	
C2	1	5	15	469	0.980580005597011	
C2	1	6	33	281	0.760508823259043	
C2	1	7	34	263	0.58522467157459	
C2	1	8	39	308	0.460449769400875	
C2	1	9	48	218	0.169474299508453	
C2	1	10	49	415	0.221993348353181	
C2	1	11	50	256	7.62088328850027E-02	
C2	1	12	59	392	0.447285882701268	
C2	1	13	64	11	0.472352231807794	
C2	1	14	78	371	4.28721219660665E-02	
C2	1	15	90	442	0.253470285862505	
C2	1	16	101	9	1.14886369482876	
C2	1	17	108	423	0.132309444017769	
C2	1	18	117	345	9.15505145306655E-02	
C2	1	19	119	13	0.562400450188072	
C2	1	20	124	389	1.31373343283904	
C2	1	21	128	409	1.20861248499145	
C2	1	22	132	436	0.927514163512999	
C2	1	23	135	59	0.393199679230152	
C2	1	24	140	142	0.522680682356491	
C2	1	25	146	296	0.312975627627598	
C2	1	26	153	437	1.45466041414195	
C2	1	27	160	201	0.666917578540388	
C2	1	28	160	355	0.281353818536368	
C2	1	29	171	397	0.450432916665659	
C2	1	30	175	306	0.413669064366724	
C2	1	31	183	59	5.44561593078493E-02	
C2	1	32	183	253	0.731823760307973	
C2	1	33	185	196	4.54755843554733E-03	
C2	1	34	195	454	0.271630108586456	
C2	1	35	203	81	0.792444880459145	
C2	1	36	213	293	1.06145552560647E-02	
C2	1	37	218	79	0.218096611391492	
C2	1	38	218	441	0.37600883941827	
C2	1	39	221	342	1.17187746494744	
C2	1	40	222	91	0.317793837799574	
C2	1	41	226	170	1.53328620856762	
C2	1	42	226	260	0.123288617844205	
C2	1	43	227	47	0.19577785916672	
C2	1	44	233	246	0.137439780738313	
C2	1	45	235	421	6.12481205319139E-03	
C2	1	46	236	279	0.184181838789115	
C2	1	47	239	437	1.07061216800355	
C2	1	48	244	47	0.152877792362825	
C2	1	49	247	451	1.13995124312888	
C2	1	50	248	98	7.15409253358654E-02	
C2	1	51	270	17	2.5278215681235E-03	
C2	1	52	274	438	7.51536140859606E-02	
C2	1	53	278	336	0.918666909425483	
C2	1	54	279	459	0.774628011433238	
C2	1	55	282	424	0	
C2	1	56	284	102	0.858497498619432	
C2	1	57	291	56	0.492614952161867	
C2	1	58	301	320	1.4445169073179E-03	
C2	1	59	306	261	0.689817558506914	
C2	1	60	309	209	0.159740850647013	
C2	1	61	313	294	0.581905524218009	
C2	1	62	313	383	0.941957313899011	
C2	1	63	314	180	0.706202145055717	
C2	1	64	321	75	0.139885473881033	
C2	1	65	323	286	0.198895235685062	
C2	1	66	329	141	0.679869298955374	
C2	1	67	330	119	0	
C2	1	68	342	242	1.06172696575012	
C2	1	69	351	80	0.870782769489194	
C2	1	70	354	138	0.640160050020397	
C2	1	71	354	299	0.73605874440779	
C2	1	72	361	41	0.931971395209385	
C2	1	73	364	385	0.180757260996921	
C2	1	74	390	326	0.33932290514204	
C2	1	75	391	170	1.28644607449587	
C2	1	76	400	428	0.18534311262713	
C2	1	77	409	35	0.1885354297119	
C2	1	78	410	292	6.08908957274372E-03	
C2	1	79	416	326	0.200919509447715	
C2	1	80	421	358	0.24212765050292	
C2	1	81	422	46	1.10295992683509	
C2	1	82	424	33	0	
C2	1	83	427	127	0.429424591122967	
C2	1	84	428	165	0.284023667550443	
C2	1	85	430	222	0.755426492702828	
C2	1	86	445	463	0	
C2	1	87	454	286	3.93349656938468E-02	
C2	1	88	457	273	3.83625864730433E-02	
C2	1	89	467	343	0.179389919196364	
C2	1	90	480	284	5.35971855907914E-02	
C2	1	91	480	318	2.77336461790145E-02	
C2	2	1	24	307	0.724765887169036	
C2	2	2	25	482	0.578418667412927	
C2	2	3	38	428	0.417176686033563	
C2	2	4	40	453	0	
C2	2	5	45	114	0.786386991647237	
C2	2	6	52	31	0.942923366823289	
C2	2	7	55	67	0.117456797797355	
C2	2	8	56	424	9.77880846154752E-02	
C2	2	9	65	275	1.18975570276766	
C2	2	10	66	419	0.891248952411153	
C2	2	11	77	154	8.19747352015339E-02	
C2	2	12	77	355	0.416332372815353	
C2	2	13	82	49	0.220337109626176	
C2	2	14	89	211	0.250966109077211	
C2	2	15	100	273	1.57789984532464	
C2	2	16	102	262	0.89852970795569	
C2	2	17	114	454	0.178268615354162	
C2	2	18	118	374	7.09481028821598E-02	
C2	2	19	120	338	0.574647123379195	
C2	2	20	126	422	0.636009508003317	
C2	2	21	139	117	0.302180766700397	
C2	2	22	142	151	7.36592634283668E-02	
C2	2	23	143	377	0.429126653550214	
C2	2	24	155	100	2.66615626109384E-02	
C2	2	25	158	64	0.613620825283713	
C2	2	26	160	223	0.396688378579692	
C2	2	27	161	264	0.628384353492518	
