Well	Field	Cell Number	Top	Left	CircRingAvgIntenRatioCh2	
A1	3	1	5	403	1.84964340657707	
A1	3	2	19	148	1.51465799546908	
A1	3	3	45	66	1.19078050851608	
A1	3	4	47	218	1.52262990384961	
A1	3	5	48	302	1.72923518216816	
A1	3	6	55	406	1.45216850673206	
A1	3	7	63	149	0.967097972483873	
A1	3	8	84	368	0.880911576016048	
A1	3	9	101	241	1.31277614762071	
A1	3	10	108	454	1.78343714704974	
A1	3	11	113	313	1.35097087311365	
A1	3	12	116	5	1.48349918419307	
A1	3	13	117	238	2.15621491051773	
A1	3	14	121	206	1.43170201665102	
A1	3	15	127	387	2.16565725328147	
A1	3	16	129	171	1.81326176001055	
A1	3	17	133	269	1.94842618294637	
A1	3	18	137	51	0.954516903390417	
A1	3	19	137	334	1.0267167148497	
A1	3	20	158	121	0.682710152168105	
A1	3	21	175	73	1.63118155674873	
A1	3	22	185	2	1.94823407665387	
A1	3	23	193	197	1.35271659723703	
A1	3	24	195	464	1.04658270198974	
A1	3	25	198	378	1.30238204695454	
A1	3	26	209	500	0	
A1	3	27	212	464	0.620102806612534	
A1	3	28	232	418	1.64445795192048	
A1	3	29	233	312	1.64366781761725	
A1	3	30	235	150	1.1609515527686	
A1	3	31	241	15	1.67212392829826	
A1	3	32	251	220	1.75795889319277	
A1	3	33	251	415	0	
A1	3	34	257	413	1.50728318517965	
A1	3	35	272	463	1.19157899646927	
A1	3	36	285	279	1.09202655758597	
A1	3	37	297	278	0	
A1	3	38	298	96	1.21991541430275	
A1	3	39	300	172	1.71388572513288	
A1	3	40	300	308	0.60729330495827	
A1	3	41	304	278	1.8277196949575	
A1	3	42	304	371	1.11930895725002	
A1	3	43	305	42	0.363849206349206	
A1	3	44	325	431	1.26977262605027	
A1	3	45	329	205	1.36561132669003	
A1	3	46	331	255	1.28833807689523	
A1	3	47	331	340	0.864047436649986	
A1	3	48	339	328	0.921742991408972	
A1	3	49	343	360	0.417376550846559	
A1	3	50	346	53	0.594240142343967	
A1	3	51	364	239	1.06603488393848	
A1	3	52	382	242	1.44658456674163	
A1	3	53	385	162	0.815174544425929	
A1	3	54	395	22	0.977725402846049	
A1	3	55	397	382	1.53038582641314	
A1	3	56	411	322	0.866653004471589	
A1	3	57	416	210	1.11288232510424	
A1	3	58	419	436	1.55317973389398	
A1	3	59	420	75	0.906576889431787	
A1	3	60	430	135	0.950608481054839	
A1	3	61	444	17	1.40375484623042	
A1	3	62	448	262	1.30817047287725	
A1	3	63	458	11	1.74052357321174	
A1	3	64	464	424	1.6003281756075	
A1	3	65	467	116	1.16700491058163	
A1	3	66	475	196	1.6551026429679	
A1	3	67	476	35	0.865568214958026	
A1	3	68	476	56	2.27382600004716	
A1	4	1	15	456	1.17671589219658	
A1	4	2	20	368	1.53157125238334	
A1	4	3	24	183	1.49700214491457	
A1	4	4	46	24	2.07661113506303	
A1	4	5	56	132	2.10135607433497	
A1	4	6	62	79	1.49757777061577	
A1	4	7	75	177	0.915205357717818	
A1	4	8	76	456	1.47457204480351	
A1	4	9	79	440	1.55242870070351	
A1	4	10	80	272	1.32635563993793	
A1	4	11	81	361	1.60366507244721	
A1	4	12	114	415	2.13103233207275	
A1	4	13	115	374	0.923216371370361	
