Well	Field	Cell Number	Top	Left	CircRingAvgIntenRatioCh2	
A2	1	1	10	67	1.15037548482825	
A2	1	2	24	346	1.41860126064728	
A2	1	3	26	430	0	
A2	1	4	35	281	1.00850089536287	
A2	1	5	38	72	1.02939122568973	
A2	1	6	40	402	0.90506576753029	
A2	1	7	42	429	0	
A2	1	8	52	460	0.598393812902238	
A2	1	9	55	166	1.60078098863852	
A2	1	10	64	78	0.641061160159088	
A2	1	11	64	361	0.961652226586272	
A2	1	12	76	46	1.3428345267562	
A2	1	13	77	103	0.72934056442243	
A2	1	14	80	336	1.38010974199143	
A2	1	15	85	405	1.25442187416026	
A2	1	16	89	76	0.161101549053356	
A2	1	17	90	248	0.14369833285107	
A2	1	18	101	103	0	
A2	1	19	101	135	1.26499641732354	
A2	1	20	109	244	0.883089886034818	
A2	1	21	117	452	1.85953617807952	
A2	1	22	124	147	0.767381225021671	
A2	1	23	127	269	0.77530517193477	
A2	1	24	130	266	0	
A2	1	25	141	424	0.650330048332024	
A2	1	26	147	42	0.590234043114594	
A2	1	27	147	254	0.416916637711466	
A2	1	28	164	345	1.0213482389765	
A2	1	29	168	306	1.1238439155413	
A2	1	30	169	18	1.81862570698778	
A2	1	31	170	69	1.55477475990297	
A2	1	32	172	228	1.25785536645528	
A2	1	33	182	120	1.84100716879687	
A2	1	34	191	14	1.80366709183673	
A2	1	35	191	158	1.92667800405611	
A2	1	36	193	437	1.68588451163306	
A2	1	37	198	206	1.01423078701481	
A2	1	38	207	377	1.20939191817536	
A2	1	39	211	454	1.58481346053118	
A2	1	40	218	59	2.0608506397473	
A2	1	41	225	274	2.02010578720565	
A2	1	42	225	411	1.006114419396	
A2	1	43	234	408	1.34092725819345	
A2	1	44	238	132	0.647479007835422	
A2	1	45	244	407	1.52963761537298	
A2	1	46	245	309	0.178392037810495	
A2	1	47	248	160	0.42628342787464	
A2	1	48	249	451	1.63674060240221	
A2	1	49	260	16	1.22614239867414	
A2	1	50	268	327	1.63345364213356	
A2	1	51	269	186	1.85675529865125	
A2	1	52	270	212	1.18114119683409	
A2	1	53	273	205	0	
A2	1	54	277	410	1.34819773721795	
