Well	Field	Cell Number	Top	Left	CircRingAvgIntenRatioCh2	
A1	1	1	14	261	2.32261281839292	
A1	1	2	20	70	2.35793016426134	
A1	1	3	22	23	2.3666397015736	
A1	1	4	28	135	1.35471236998954	
A1	1	5	44	413	1.49911509328264	
A1	1	6	46	309	1.7042533316895	
A1	1	7	95	323	1.98884931161299	
A1	1	8	97	78	0.837854299232011	
A1	1	9	101	248	1.750973681656	
A1	1	10	104	170	0.586405587691862	
A1	1	11	117	439	1.17327487618951	
A1	1	12	128	229	1.93534943422836	
A1	1	13	150	179	1.47595395537853	
A1	1	14	169	343	1.5399649452316	
A1	1	15	182	38	2.2191554451294	
A1	1	16	183	128	0.674720666735026	
A1	1	17	187	237	2.01282535584469	
A1	1	18	191	86	2.1985057016288	
A1	1	19	205	471	2.31431086970125	
A1	1	20	213	437	1.14760606833238	
A1	1	21	215	207	1.49886567187605	
A1	1	22	225	93	2.02176849209214	
A1	1	23	235	38	1.52823284030675	
A1	1	24	244	147	2.60745711529589	
A1	1	25	244	370	2.01941346689126	
A1	1	26	252	235	2.04219272980294	
A1	1	27	256	410	1.94165666381731	
A1	1	28	259	77	1.80152839501042	
A1	1	29	263	291	1.30691161461523	
A1	1	30	268	305	1.57226468335642	
A1	1	31	297	57	1.59050629432766	
A1	1	32	303	444	1.55100333140967	
A1	1	33	306	173	1.21787559084893	
A1	1	34	322	120	1.66351984294948	
A1	1	35	326	14	1.50650491109843	
A1	1	36	340	285	2.19135016276491	
A1	1	37	341	166	2.30294488188976	
A1	1	38	341	262	2.02293660553262	
A1	1	39	353	51	1.11899914663746	
A1	1	40	356	361	2.53501096819631	
A1	1	41	362	414	2.00285679988273	
A1	1	42	392	53	1.7880471645222	
A1	1	43	396	472	1.26809861990544	
A1	1	44	402	207	1.69609028378316	
A1	1	45	408	358	2.382228047632	
A1	1	46	411	425	1.72686253197277	
A1	1	47	418	107	1.44885936806867	
A1	1	48	428	318	1.56544765529384	
A1	1	49	441	334	1.5513073471595	
A1	1	50	452	396	0.497219696006893	
A1	1	51	465	250	1.94844868813032	
A1	1	52	498	467	0	
A1	2	1	9	324	2.55798625458406	
A1	2	2	13	62	1.60826404023027	
A1	2	3	15	364	1.56042015028291	
A1	2	4	16	480	1.35964386976591	
A1	2	5	25	395	1.92357148944851	
A1	2	6	29	231	1.73301981100639	
A1	2	7	46	169	1.69026690347217	
A1	2	8	52	472	2.45534919983725	
A1	2	9	71	323	1.63391831219636	
A1	2	10	80	413	1.85248051892676	
A1	2	11	86	36	1.51894227444059	
A1	2	12	92	96	1.60989328811741	
A1	2	13	104	273	1.9325869243203	
