Well	Field	Cell Number	Top	Left	CircAvgIntenCh2	CircRingAvgIntenRatioCh2
C3	5	30	456	205	14.16	2.979692757
C3	5	31	469	85	14.59533074	1.396688336
C3	5	32	472	249	15.39344262	3.82E-02
C3	5	33	476	268	15.56179775	1.778452431
C3	6	1	9	175	18.71428571	1.759367108
C3	6	2	43	271	19.47217538	0.80887611
C3	6	3	84	301	19.99615385	1.580820034
C3	6	4	86	52	20.01162791	1.740513696
C3	6	5	86	241	20.1984127	2.780089811
C3	6	6	104	425	20.53369272	1.416115304
C3	6	7	114	244	20.53784861	2.054473458
C3	6	8	126	361	20.57725948	1.400179856
C3	6	9	150	271	21.30327869	2.28673581
C3	6	10	151	171	21.53785901	1.802344539
C3	6	11	202	302	21.76548673	1.327452361
C3	6	12	213	244	21.7680798	1.489648113
C3	6	13	241	415	22.0866426	1.478206493
C3	6	14	243	274	22.37946429	1.159846593
C3	6	15	254	97	22.75172414	1.318880288
C3	6	16	258	412	22.87623762	1.28432592
C3	6	17	263	270	24.06707317	0.537815478
C3	6	18	288	222	24.30136986	0.032783177
C3	6	19	313	184	24.42857143	0.664029325
C3	6	20	343	269	24.4375	0.522181475
C3	6	21	362	39	24.58311346	1.345856025
C3	6	22	382	386	24.63636364	1.542427988
C3	6	23	404	389	24.70697674	1.385138968
C3	6	24	419	210	25.1	0
C3	6	25	420	209	25.10194903	2.15915384
C3	6	26	431	231	25.15189873	1.010041795
C3	6	27	446	366	25.16071429	2.128846124
C3	6	28	447	47	25.20361991	6.20E-02
C3	6	29	480	22	25.30434783	1.002190221
C3	6	30	488	475	25.3256705	0
C3	6	31	504	483	25.36363636	0
C3	7	1	12	262	25.53623188	1.851289306
C3	7	2	31	225	25.5962963	1.158735071
C3	7	3	67	302	25.83663366	1.433345622
C3	7	4	72	236	25.95669291	1.450050955
C3	7	5	121	288	26.03558052	2.153869997
C3	7	6	126	420	26.17582418	1.903838877
C3	7	7	183	462	26.25423729	1.783333286
C3	7	8	197	3	26.32653061	1.787896553
C3	7	9	214	126	26.3963964	1.148119339
C3	7	10	238	346	26.44594595	2.131725122
C3	7	11	242	404	26.53846154	1.301185829
C3	7	12	252	338	26.54248366	1.398825775
C3	7	13	264	339	26.56818182	0.174254873
C3	7	14	283	416	26.69469027	1.803990663
C3	7	15	299	340	26.70403587	0.715501239
C3	7	16	300	210	26.7625	0.416364739
C3	7	17	307	195	26.78571429	0
C3	7	18	328	54	26.78984238	1.117249555
C3	7	19	344	211	26.80740741	1.302225738
C3	7	20	351	231	26.95930233	4.17E-02
C3	7	21	378	148	26.96039604	2.471067836
C3	7	22	461	60	26.975	1.103803895
C3	7	23	467	470	26.9787234	1.387974394
C3	7	24	468	445	27.06737589	1.077525714
C3	7	25	470	95	27.07782101	0
C3	7	26	474	413	27.09424084	0
C3	7	27	477	408	27.15730337	0.772021375
C3	8	1	2	148	27.28323699	0.011079697
C3	8	2	18	390	27.34138973	2.638706392
C3	8	3	19	411	27.39637306	1.572372352
C3	8	4	21	229	27.52808989	2.774738204
C3	8	5	58	37	27.55555556	1.450582472
C3	8	6	60	479	27.61783439	1.654266958
C3	8	7	96	472	27.62534435	1.435265672
C3	8	8	146	236	27.71982759	2.10358309
C3	8	9	147	221	27.90909091	0.140768046
C3	8	10	155	144	27.92222222	1.467641844
C3	8	11	161	161	27.95791583	1.380866744
C3	8	12	190	152	28.005	5.67E-02
C3	8	13	209	89	28.15526316	1.619134863
C3	8	14	213	117	28.19368421	1.741387515
C3	8	15	215	353	28.43478261	4.45E-02
C3	8	16	232	397	28.5037594	1.814075392
C3	8	17	238	499	28.65435356	0
C3	8	18	241	59	28.67674419	0
C3	8	19	244	129	28.70125786	0
C3	8	20	247	33	28.71626298	1.444873084
C3	8	21	249	53	28.75889328	0
C3	8	22	254	172	28.80365297	0.692259112
C3	8	23	266	222	28.81492537	1.212661808
C3	8	24	269	207	28.85561497	2.012077338
C3	8	25	273	420	28.91891892	1.237641722
