Well	Field	Cell Number	Top	Left	CircAvgIntenCh2	CircRingAvgIntenRatioCh2
C2	1	1	22	385	0	0.368660894
C2	1	2	41	169	0	1.516834922
C2	1	3	42	186	0	1.300862501
C2	1	4	45	274	0	0.777234872
C2	1	5	49	379	0	1.278187909
C2	1	6	91	167	0	1.610418588
C2	1	7	109	131	0	0.118181858
C2	1	8	110	365	0	0
C2	1	9	129	31	0	0.413113568
C2	1	10	138	200	0	0.767257723
C2	1	11	152	370	0	1.846443697
C2	1	12	170	372	0	1.952822432
C2	1	13	177	127	0	1.449919581
C2	1	14	179	220	0	1.249543656
C2	1	15	182	151	0	0
C2	1	16	183	260	0	0.787922501
C2	1	17	197	200	0	1.271493259
C2	1	18	253	42	0	1.282001156
C2	1	19	261	9	0	1.28035828
C2	1	20	271	375	0	0.620896122
C2	1	21	274	202	0	1.187323108
C2	1	22	288	211	0	1.163899006
C2	1	23	288	460	0	5.51E-02
C2	1	24	313	51	0	1.47325476
C2	1	25	313	378	0	1.255580319
C2	1	26	331	93	0	1.531371716
C2	1	27	332	53	0	1.202366367
C2	1	28	340	202	0	2.13521101
C2	1	29	361	210	0	1.648785068
C2	1	30	388	30	0	1.590721504
C2	1	31	403	118	0	2.048482282
C2	1	32	423	386	0	1.342515919
C2	1	33	448	246	0	1.202087488
C2	1	34	474	100	0	1.893851461
C2	1	35	474	326	0	0.94850749
C2	2	1	37	346	0	0.95535248
C2	2	2	40	290	0	1.488740204
C2	2	3	42	140	0	1.464673225
C2	2	4	45	158	0	1.927050143
C2	2	5	72	40	0	2.777223636
C2	2	6	130	370	0	1.918742693
C2	2	7	157	26	0	2.143000743
C2	2	8	161	266	0	0.755815012
C2	2	9	162	6	0	0
C2	2	10	185	182	0	1.051667383
C2	2	11	186	428	0	0.41534746
C2	2	12	249	142	0	0.384904745
C2	2	13	253	330	0	1.519175802
C2	2	14	293	402	0	2.548165138
C2	2	15	316	181	0	1.759050652
C2	2	16	319	207	0	1.86864204
C2	2	17	357	372	0	1.638953079
C2	2	18	359	353	0	0.587516707
C2	2	19	362	153	0	2.679419664
C2	2	20	416	263	0	1.113602491
C2	2	21	418	437	0	1.190188679
C2	2	22	425	112	0	2.290840631
C2	2	23	443	136	0	0
C2	2	24	456	149	0	0
C2	2	25	467	472	0	1.104864402
C2	2	26	477	287	0	6.05E-03
C2	3	1	3	299	0	1.399531716
C2	3	2	14	457	0	1.978382797
C2	3	3	42	277	0	2.288813016
C2	3	4	73	266	0	2.070302839
C2	3	5	76	408	0	0.935194006
C2	3	6	79	155	0	1.202088117
C2	3	7	132	134	0	0
C2	3	8	153	116	0	1.310709409
C2	3	9	175	426	0	2.087497224
C2	3	10	206	2	0	1.529390776
C2	3	11	210	66	0	1.517446036
C2	3	12	226	481	0	2.230862495
C2	3	13	227	211	0	2.566891976
C2	3	14	234	337	0	1.764934167
C2	3	15	248	338	0	0
C2	3	16	255	339	0	2.407655791
C2	3	17	275	296	0	1.951588964
C2	3	18	304	205	0	2.086448555
C2	3	19	315	47	0	1.550151102
C2	3	20	323	241	0	3.783403397
C2	3	21	362	352	0	1.864677105
C2	3	22	363	334	6.71E-02	2.268470626
C2	3	23	369	19	0.137931034	1.952987614
C2	3	24	375	95	0.142857143	1.490640659
C2	3	25	387	158	0.17826087	1.45859449
C2	3	26	404	416	1.207017544	1.389932385
C2	3	27	406	257	1.905027933	1.531986028
C2	3	28	425	255	2.703971119	1.913414737
C2	3	29	444	140	3.753986333	1.331627054
C2	3	30	453	451	3.953020134	2.298998353
C2	4	1	16	101	4.212121212	2.032828294
C2	4	2	16	118	5.146875	1.887087099
C2	4	3	32	237	5.545945946	1.634513592
C2	4	4	33	373	6.35483871	0.8673262
C2	4	5	45	219	6.595238095	0.819672901
C2	4	6	68	423	8.597744361	0.793127272
C2	4	7	85	391	9.894230769	0.923650075
C2	4	8	104	324	10.51578947	1.517875117
C2	4	9	104	345	10.95967742	7.80E-02
C2	4	10	107	165	13.45736434	1.591999533
C2	4	11	109	228	15.8372093	1.847518366
C2	4	12	121	224	15.91193182	1.564972415
C2	4	13	134	283	19.1875	0.432650594
C2	4	14	139	2	19.90857143	0.936770109
C2	4	15	157	273	20.01659751	2.273441451
C2	4	16	166	303	21.26237624	0
C2	4	17	173	119	22.3412527	0
C2	4	18	174	118	22.79872204	1.141580481
C2	4	19	187	379	23.625	1.676240528
C2	4	20	204	445	24.21518987	1.964490421
C2	4	21	220	455	24.296875	1.617862015
C2	4	22	225	442	24.43939394	1.690150745
C2	4	23	248	218	24.51269036	1.782272295
C2	4	24	274	213	24.63772455	1.07450915
C2	4	25	287	167	24.72681704	1.29169893
C2	4	26	289	100	24.74052478	1.729962393
C2	4	27	295	34	24.94818653	1.417460184
C2	4	28	309	405	24.95121951	1.576387644
C2	4	29	329	479	25.04743083	1.065030902
C2	4	30	383	258	25.41894737	1.748220731
C2	4	31	394	128	25.43559322	1.490746816
C2	4	32	401	113	25.5	1.509516326
C2	4	33	414	203	25.60526316	1.935742953
C2	4	34	415	66	25.74226804	1.547469241
C2	4	35	430	435	25.98924731	1.092854639
C2	4	36	448	307	26.00896861	0
C2	4	37	466	469	26.3226601	1.902600408
C2	4	38	474	231	26.51282051	0.886115994
C2	4	39	485	85	26.52380952	1.773669528
C2	4	40	486	212	26.73770492	0.607340946
C2	4	41	495	171	26.8125	0
C2	5	1	51	268	26.84583333	1.379021679
C2	5	2	56	382	26.9504717	1.664097206
C2	5	3	75	376	26.97155361	1.165667084
C2	5	4	82	54	27.12954545	7.70E-03
C2	5	5	106	206	27.1328125	1.807995627
C2	5	6	110	128	27.23175966	2.091325214
C2	5	7	170	336	27.34883721	1.520272906
C2	5	8	188	397	27.39666667	1.2321979
C2	5	9	192	336	27.42732558	1.179188427
C2	5	10	200	342	27.4679089	1.224951259
C2	5	11	233	6	27.54913295	1.168852847
C2	5	12	259	329	28.03478261	1.158519849
C2	5	13	275	83	28.19672131	2.078395503
C2	5	14	296	15	28.43455497	0
C2	5	15	307	15	28.48046875	0
C2	5	16	311	3	28.54929577	1.046231065
C2	5	17	326	155	28.56103286	2.804885553
C2	5	18	352	308	28.5902439	2.936682583
C2	5	19	359	90	28.6996904	1.549303021
C2	5	20	405	328	28.77922078	1.412259225
C2	5	21	421	429	28.91954023	1.372566013
C2	5	22	450	52	29.20437956	1.820514699
C2	6	1	26	490	29.35714286	1.071294275
C2	6	2	27	164	29.38721805	1.543900363
C2	6	3	34	183	29.41694915	1.297505895
C2	6	4	35	201	29.49848024	1.715647845
C2	6	5	36	481	29.59634888	0.766532683
C2	6	6	40	434	30.11162791	1.845463677
C2	6	7	48	87	30.32352941	2.104973346
C2	6	8	64	314	30.42857143	1.898299486
C2	6	9	74	19	30.44	1.319833853
C2	6	10	92	485	30.74792244	0
C2	6	11	103	493	30.87551867	0
C2	6	12	125	296	30.88636364	1.595702186
C2	6	13	131	136	31	1.859862876
C2	6	14	133	239	31.26217228	1.824716908
C2	6	15	135	365	31.38418079	1.712542738
C2	6	16	138	56	31.45728643	1.403816144
C2	6	17	146	201	31.54	1.922408253
C2	6	18	147	284	31.74570447	1.713135339
C2	6	19	180	453	31.81481481	0.800822204
C2	6	20	182	16	31.82474227	0.962933555
C2	6	21	184	5	31.875	1.189217164
C2	6	22	195	125	32.2300885	1.618145057
C2	6	23	200	12	32.57414449	0
C2	6	24	210	277	32.58139535	2.848005005
C2	6	25	239	351	32.68141593	1.256965079
C2	6	26	308	38	32.83629893	2.070589811
C2	6	27	334	359	32.84528302	1.69060766
C2	6	28	338	414	32.85641026	1.022738263
C2	6	29	394	259	32.875	1.687286615
C2	6	30	408	256	33.08906883	0
C2	6	31	413	246	33.6631016	1.490626238
C2	6	32	462	100	33.78908189	1.975974963
C2	6	33	474	164	33.81012658	1.711125194
C2	7	1	8	256	34.17125382	1.904248782
C2	7	2	41	480	34.25641026	1.630252341
C2	7	3	53	196	34.52599388	1.373155824
C2	7	4	107	290	34.54045307	1.01877606
C2	7	5	109	305	34.6875	1.124694599
C2	7	6	111	160	34.69266055	1.931024523
C2	7	7	112	402	34.82758621	1.343797501
C2	7	8	114	263	34.96078431	2.11E-03
C2	7	9	142	330	35.23151125	1.847794772
C2	7	10	146	67	35.40298507	2.031200071
C2	7	11	168	331	35.44262295	2.0842424
C2	7	12	170	65	35.54316547	2.049712486
C2	7	13	269	394	35.62068966	1.14686779
C2	7	14	328	357	35.71428571	1.967094067
C2	7	15	336	182	36.23884514	1.14548427
C2	7	16	344	465	36.81065089	0.108904682
C2	7	17	358	267	36.97272727	1.068062355
C2	7	18	365	184	37.15686275	1.746257094
C2	7	19	452	345	37.37366548	1.271011054
C2	7	20	465	50	37.67857143	2.043525776
C2	7	21	486	252	37.95180723	1.268300795
C2	8	1	38	58	38.27956989	2.503901197
C2	8	2	48	129	38.4296875	2.931659518
C2	8	3	61	344	38.51913876	1.243646227
C2	8	4	68	265	38.62315271	1.02796174
C2	8	5	93	287	39.28865979	0
C2	8	6	94	33	39.5125	0.481850865
C2	8	7	102	444	40.04109589	1.228719505
C2	8	8	105	18	40.65	0.635568285
C2	8	9	106	97	41.09584665	3.95E-03
C2	8	10	108	122	41.11271676	1.850703832
C2	8	11	110	229	41.33898305	2.615258813
C2	8	12	136	337	41.92941176	0.93170589
C2	8	13	143	49	41.95625	1.334905966
C2	8	14	167	189	42.09129512	0.227922791
C2	8	15	169	159	42.65506329	0.934517087
C2	8	16	185	181	42.90551181	0.119030986
C2	8	17	204	40	43.06055646	1.916656271
C2	8	18	224	401	43.12244898	2.025352818
C2	8	19	240	403	43.52173913	1.653920007
C2	8	20	254	167	43.71255061	0.489307787
C2	8	21	263	467	43.878	1.957704966
C2	8	22	284	466	43.89090909	1.938283738
C2	8	23	285	132	44.13930348	1.824590956
C2	8	24	286	250	44.96666667	1.708878244
C2	8	25	309	135	45.78515625	0
C2	8	26	341	420	45.9137931	2.656189618
C2	8	27	383	198	46.08275862	2.155924358
C2	8	28	386	69	46.14583333	2.311125798
C2	8	29	410	266	46.24299065	2.242260551
C2	8	30	447	11	46.31944444	0
C2	8	31	449	156	46.57142857	0.19822764
C2	8	32	452	132	46.8	0.675677473
C2	9	1	10	34	46.80310881	1.060952991
C2	9	2	19	207	46.95705521	0
C2	9	3	30	305	47.12073491	1.689089941
C2	9	4	48	420	47.71812081	0
C2	9	5	50	30	48.26923077	8.67E-02
C2	9	6	61	183	48.52727273	0
C2	9	7	64	4	48.52822581	1.688942155
C2	9	8	70	193	48.57227723	1.211606557
C2	9	9	99	150	48.6	1.64417295
C2	9	10	158	306	48.60966543	1.280291135
C2	9	11	174	307	48.78082192	1.222020459
C2	9	12	219	218	49.35377358	2.44E-02
C2	9	13	225	76	49.49746193	3.231868209
C2	9	14	232	176	49.56862745	1.10028247
C2	9	15	263	301	50.42857143	2.493506335
C2	9	16	299	421	50.64454976	2.280807378
C2	9	17	301	12	50.83972125	1.751939021
C2	9	18	305	422	51.06626506	0
C2	9	19	307	232	51.10619469	0.729617448
C2	9	20	319	227	51.44144144	0
C2	9	21	328	220	51.94680851	1.520101643
C2	9	22	337	103	52.25887265	0.656462696
C2	9	23	383	164	52.5	1.083761937
C2	9	24	429	287	52.66666667	1.252204696
C2	9	25	435	447	52.81330472	2.185260506
C2	9	26	438	165	53.28695652	0
C2	9	27	444	79	55.06639004	1.884416768
C2	10	1	17	212	55.21495327	2.404469376
C2	10	2	51	92	55.47912886	1.357821559
C2	10	3	55	44	55.88	1.804979721
C2	10	4	63	410	56.05660377	2.132419185
C2	10	5	76	43	56.09328358	1.851824889
C2	10	6	76	454	56.23831776	2.581574907
C2	10	7	132	144	56.80344828	1.105003354
C2	10	8	178	109	56.85294118	0.837620697
C2	10	9	191	162	57.34124088	1.934687666
C2	10	10	196	107	57.41025641	0.881073843
C2	10	11	225	233	57.57055215	1.574158182
C2	10	12	246	372	58.90740741	1.351529897
C2	10	13	283	415	58.96551724	2.910050998
C2	10	14	340	193	59.30769231	1.839238437
C2	10	15	358	128	59.40641711	1.796496405
C2	10	16	360	298	59.95114007	7.15E-02
C2	10	17	364	415	60.33884298	0
C2	10	18	368	428	60.36578947	0
C2	10	19	387	365	60.39784946	2.555394232
