Well	Field	Cell Number	Top	Left	CircAvgIntenCh2	CircRingAvgIntenRatioCh2
C4	1	1	7	494	0	0
C4	1	2	17	17	0	1.642484269
C4	1	3	19	286	0	1.461608602
C4	1	4	25	277	0	1.612254377
C4	1	5	50	385	0	1.39382171
C4	1	6	62	405	0	1.796276583
C4	1	7	70	95	0	1.710139372
C4	1	8	73	303	0	1.236299531
C4	1	9	76	230	0	2.554468351
C4	1	10	82	134	0	1.609301295
C4	1	11	83	346	0	1.665854492
C4	1	12	97	31	0	2.052089419
C4	1	13	99	489	0	1.618422979
C4	1	14	100	306	0	1.890521137
C4	1	15	110	26	0	1.618067112
C4	1	16	116	485	0	1.662222222
C4	1	17	124	123	0	3.388467131
C4	1	18	125	55	0	1.51751139
C4	1	19	130	314	0	1.041359466
C4	1	20	130	465	0	1.082565691
C4	1	21	131	478	0	0
C4	1	22	135	294	0	1.431829574
C4	1	23	137	398	0	2.095687885
C4	1	24	137	453	0	1.475666004
C4	1	25	139	169	0	2.01120124
C4	1	26	148	219	0	2.267389778
C4	1	27	162	340	0	1.593582472
C4	1	28	179	471	0	2.146193412
C4	1	29	185	339	0	1.410587983
C4	1	30	194	113	0	1.973193538
C4	1	31	198	395	0	1.411250521
C4	1	32	202	331	0	1.40861321
C4	1	33	206	60	0	2.967143985
C4	1	34	208	181	0	1.379996108
C4	1	35	208	253	0	1.488504196
C4	1	36	216	437	0	2.974131048
C4	1	37	217	341	0	1.179696859
C4	1	38	222	382	0	1.15082187
C4	1	39	231	392	0	1.144593308
C4	1	40	250	429	0	1.428742515
C4	1	41	255	149	0	1.94073564
C4	1	42	257	268	0	1.406042398
C4	1	43	261	191	0	1.817672746
C4	1	44	265	221	0	1.871137252
C4	1	45	267	308	0	1.661916294
C4	1	46	288	462	0	1.58124499
C4	1	47	310	198	0	2.159255353
C4	1	48	313	397	0	1.643260823
C4	1	49	318	344	0	1.854465235
C4	1	50	342	244	0	2.102688409
C4	1	51	342	437	0	2.268869349
C4	1	52	344	285	0	2.267488152
C4	1	53	345	32	0	1.360894197
C4	1	54	366	384	0	1.262097272
C4	1	55	380	350	0	1.709185458
C4	1	56	395	43	0	2.944518074
C4	1	57	396	206	0	1.794627033
C4	1	58	398	418	0	1.300568537
C4	1	59	403	400	0	1.312484567
C4	1	60	409	268	0	2.344984703
C4	1	61	411	117	0	1.177087127
C4	1	62	419	171	0	3.220141917
C4	1	63	433	330	0	2.123208502
C4	1	64	448	304	0	1.77142749
C4	1	65	462	229	0	2.470915295
C4	2	1	14	25	0	1.706269706
C4	2	2	15	310	0	2.885614592
C4	2	3	21	438	0	1.156817525
