Cell,PCC
1,0.47
2,0.29
3,0.09
4,0.16
5,0.72
6,0.67
7,0.69
8,0.27
9,0.75
10,0.53
11,0.51
12,0.4
13,0.21
14,0.29
15,0.83
16,0.71
17,0.53
18,0.78
19,0.69
20,0.91
21,0.6
22,0.69
23,0.4
24,0.53
25,0.86
26,0.72
27,0.56
28,0.69
29,0.54
30,0.63
31,0.72
32,0.45
33,0.86
34,0.59
35,0.65
36,0.61
37,0.55
38,0.39
39,0.59
40,0.71
41,0.54
42,0.85
43,0.76
44,0.73
45,0.73
46,0.23
47,0.77
48,0.65
49,0.57
50,0.81
51,0.45
52,0.66
53,0.67
54,0.31
55,0.79
