Well	Field	Cell Number	Top	Left	CircRingAvgIntenRatioCh2	
B1	1	1	2	133	2.07978587358837	
B1	1	2	14	163	0.534597556719023	
B1	1	3	15	429	1.43271335118341	
B1	1	4	20	83	1.57810417256608	
B1	1	5	20	286	1.31951544958229	
B1	1	6	24	453	1.3278585733805	
B1	1	7	25	396	1.4184443105903	
B1	1	8	38	201	1.08984032527278	
B1	1	9	49	328	0.551072551662174	
B1	1	10	60	117	1.313448178635	
B1	1	11	61	198	1.38990489223141	
B1	1	12	65	69	1.86961471520539	
B1	1	13	78	264	1.09071290386736	
B1	1	14	79	278	1.46670231877204	
B1	1	15	111	4	1.19404726717719	
B1	1	16	115	141	1.05602561453506	
B1	1	17	122	251	2.18410109320945	
B1	1	18	129	91	1.53712081030976	
B1	1	19	139	189	1.75092552693196	
B1	1	20	174	228	1.8367977678811	
B1	1	21	179	160	1.17493319430079	
B1	1	22	181	36	0.788942745442143	
B1	1	23	181	56	1.57327587674063	
B1	1	24	192	226	1.83825286261365	
B1	1	25	207	2	1.32087459110394	
B1	1	26	224	117	1.58227941439987	
B1	1	27	246	35	1.38110818855143	
B1	1	28	276	457	1.87098609722249	
B1	1	29	286	61	1.23551065629619	
B1	1	30	292	126	1.34505550857145	
B1	1	31	302	390	1.67470504505269	
B1	1	32	338	144	1.417623650805	
B1	1	33	350	21	1.95706187286794	
B1	1	34	358	429	1.8786017028367	
B1	1	35	406	241	1.50516540281184	
B1	1	36	406	345	1.57927499375023	
B1	1	37	427	118	2.17160905279717	
B1	1	38	433	455	1.58741018868213	
B1	1	39	435	79	1.52975325492768	
B1	1	40	464	421	2.05712916473229	
B1	2	1	12	286	1.49053452870294	
B1	2	2	12	349	1.69106820292122	
B1	2	3	39	403	1.86235212740613	
B1	2	4	44	162	1.74728050588397	
B1	2	5	44	238	1.31066874872267	
B1	2	6	53	53	1.68613157661199	
B1	2	7	65	119	1.48308867836927	
B1	2	8	66	379	0.542458346251997	
B1	2	9	69	244	1.10743936040472	
B1	2	10	71	452	0.350376991023491	
B1	2	11	85	84	1.53714765736331	
B1	2	12	87	286	1.50345584306506	
B1	2	13	89	405	1.29842835117047	
B1	2	14	90	345	1.45063489313637	
B1	2	15	95	209	2.12773410564571	
B1	2	16	108	469	2.47926460141315	
B1	2	17	113	46	1.4558081922229	
B1	2	18	130	344	0.949603703443922	
B1	2	19	150	179	1.86559350092677	
B1	2	20	157	245	1.55888298555892	
B1	2	21	163	395	0.965869730747872	
B1	2	22	166	84	1.9152220194833	
B1	2	23	173	477	1.84553130779546	
B1	2	24	182	11	1.52024293139047	
B1	2	25	184	298	1.38731508399419	
B1	2	26	211	369	1.73377135739054	
B1	2	27	227	313	1.53363044863369	
B1	2	28	230	271	1.36658371828393	
B1	2	29	235	111	1.34371283798192	
B1	2	30	253	68	1.02670919137828	
B1	2	31	257	448	1.34486313950887	
B1	2	32	277	444	1.63011659464004	
B1	2	33	285	18	1.16758106697835	
B1	2	34	285	389	1.43898617898219	
B1	2	35	294	118	1.2105013804068	
B1	2	36	301	112	0	
B1	2	37	303	82	1.06220529039678	
B1	2	38	305	106	0	
B1	2	39	339	447	1.49419192148743	
B1	2	40	361	324	1.47493982579785	
B1	2	41	369	43	1.44685292178387	
