Well	Field	Cell Number	Top	Left	CircRingAvgIntenRatioCh2	
B2	1	1	6	108	1.17726478921401	
B2	1	2	10	126	1.75458078683801	
B2	1	3	20	334	2.44158642733643	
B2	1	4	24	410	1.87416752697576	
B2	1	5	36	183	2.50636583448034	
B2	1	6	47	274	1.74997045044293	
B2	1	7	48	74	2.36104983604507	
B2	1	8	59	234	2.57089022218729	
B2	1	9	64	213	2.20743681355035	
B2	1	10	74	30	1.38651831981549	
B2	1	11	81	216	1.90312480165866	
B2	1	12	98	285	1.65059107984583	
B2	1	13	99	186	1.25175987665279	
B2	1	14	102	401	1.7428420461156	
B2	1	15	104	359	1.59189674207505	
B2	1	16	113	184	0	
B2	1	17	113	231	2.81144985010202	
B2	1	18	118	184	0	
B2	1	19	122	183	1.88387418220211	
B2	1	20	123	476	1.63801427276365	
B2	1	21	125	38	2.16838316990699	
B2	1	22	130	309	1.24683785732324	
B2	1	23	140	10	1.37415045528289	
B2	1	24	146	478	1.81637599947547	
B2	1	25	158	378	2.06150331457209	
B2	1	26	160	201	2.02938883016121	
B2	1	27	169	338	1.86843833753547	
B2	1	28	180	239	1.75109685883793	
B2	1	29	191	284	1.1693977745515	
B2	1	30	195	148	2.03055486304962	
B2	1	31	206	96	0.348795101147343	
B2	1	32	213	5	1.90318547473292	
B2	1	33	230	441	1.62895216952645	
B2	1	34	232	211	2.12850102199089	
B2	1	35	234	58	1.86131345784692	
B2	1	36	258	396	1.12210494617986	
B2	1	37	264	178	2.18706489087828	
B2	1	38	264	372	1.40656229376634	
B2	1	39	270	120	1.63661571719469	
B2	1	40	275	269	1.64719960958928	
B2	1	41	277	220	2.00767160555932	
B2	1	42	283	425	1.86573455213005	
B2	1	43	304	466	1.50663027215029	
B2	1	44	325	185	1.23752220984386	
B2	1	45	333	122	1.26307485845159	
B2	1	46	345	384	1.95087427964115	
B2	1	47	349	304	2.92963853912002	
B2	1	48	371	95	2.46797146819904	
B2	1	49	372	63	2.11598141621624	
B2	1	50	372	465	1.53666681923111	
B2	1	51	373	238	1.66703426764548	
B2	1	52	381	180	0.950012968905306	
B2	1	53	397	370	1.8952986286102	
B2	1	54	422	186	2.28404982602824	
B2	1	55	430	426	0.95153288264386	
B2	1	56	433	119	2.43293181532268	
B2	1	57	437	58	1.70554598655199	
B2	1	58	449	120	2.14777187492419	
B2	1	59	458	146	2.09133601253882	
B2	1	60	460	7	2.01720628376586	
B2	1	61	461	476	1.51205486756495	
B2	1	62	470	379	1.30840131645353	
B2	1	63	481	480	0	
B2	2	1	8	72	2.22809154717575	
B2	2	2	31	8	1.12513484683309	
B2	2	3	35	28	0.876207520414988	
B2	2	4	101	22	1.56257163777554	
B2	2	5	126	90	1.33708644451016	
B2	2	6	131	110	1.1007855994857	
B2	2	7	159	67	0.859140744048422	
B2	2	8	165	113	1.03933474535477	
B2	2	9	169	184	2.27170659955447	
B2	2	10	195	462	2.43965778492903	
B2	2	11	213	129	1.30648038253697	
B2	2	12	224	6	2.39404737140068	
B2	2	13	234	313	1.74720460130466	
B2	2	14	239	96	1.4774641837167	
B2	2	15	241	450	1.89148114354282	
B2	2	16	251	382	1.40904620354337	
B2	2	17	272	158	2.31004201036095	
B2	2	18	282	60	1.7190421142526	
B2	2	19	288	264	2.26376243222133	
B2	2	20	313	5	1.72082189527175	
B2	2	21	313	172	0.236883001554059	
B2	2	22	320	142	2.218780839368	
B2	2	23	322	326	1.39191201999427	
B2	2	24	331	196	1.96592577048352	
B2	2	25	331	237	1.19584770449969	
B2	2	26	331	418	2.29287504056342	
B2	2	27	346	44	1.48385722787094	
B2	2	28	372	462	1.82651550138549	
B2	2	29	378	380	2.08714998902562	
B2	2	30	384	263	1.88469505949675	
B2	2	31	390	202	2.27082216143902	
B2	2	32	393	78	1.68158371186859	
B2	2	33	393	139	1.5570442002806	
B2	2	34	405	33	2.55052630722227	
B2	2	35	405	314	1.54325328848501	
B2	2	36	416	137	1.30772220279041	
B2	2	37	433	378	2.2044551298421	
B2	2	38	439	87	1.94340643885287	
B2	2	39	442	436	2.55356926263645	
B2	2	40	457	265	2.17836700958045	
B2	2	41	464	50	2.12326500452024	
B2	2	42	484	48	2.23773834626327	
B2	2	43	484	296	2.23390695052457	
B2	3	1	15	216	2.89224359017812E-04	
B2	3	2	18	21	0.855450977370879	
B2	3	3	60	245	1.5247609718761	
B2	3	4	61	154	2.15298435953616	
B2	3	5	73	39	2.56812160577384	
B2	3	6	77	119	1.52209711011093	
B2	3	7	80	98	1.7589622889662	
B2	3	8	99	229	1.72146472337583	
B2	3	9	101	94	1.35845607638349	
B2	3	10	110	368	1.57875876694794	
B2	3	11	118	447	1.4729942057683	
B2	3	12	161	57	1.64584642666474	
B2	3	13	182	317	1.85324074672596	
B2	3	14	185	350	1.6902444638767	
B2	3	15	192	129	2.49443631163904	
B2	3	16	193	239	1.5860084933493	
B2	3	17	196	152	1.07378143117891	
B2	3	18	212	91	1.76528874661081	
B2	3	19	220	25	2.40308772810892	
B2	3	20	240	159	2.4983451014048	
B2	3	21	257	301	1.60805624985017	
B2	3	22	260	246	1.76197982784455	
B2	3	23	262	232	1.65553052497794	
B2	3	24	262	413	1.17916049757968	
B2	3	25	282	47	1.86787032057094	
B2	3	26	301	248	1.8950348868817	
B2	3	27	314	24	2.65437870435871	
B2	3	28	322	411	1.59454751328281	
B2	3	29	328	62	1.52168119094675	
B2	3	30	328	351	2.03519128524857	
B2	3	31	330	206	1.00187188687834	
B2	3	32	340	20	2.04023301883502	
B2	3	33	342	431	1.6750606159782	
B2	3	34	348	204	1.54522832193521	
B2	3	35	366	116	1.45179376249281	
B2	3	36	370	278	1.93445770629966	
B2	3	37	383	470	1.61932428046407	
B2	3	38	386	117	0.899228724223491	
B2	3	39	391	13	1.31037523666396	
B2	3	40	391	220	2.28346457302429	
B2	3	41	395	30	1.17000031314491	
B2	3	42	404	324	1.65456891731346	
B2	3	43	415	73	0.779582246392831	
B2	3	44	417	402	1.65026322735296	
B2	3	45	435	75	0.898083154415666	
B2	3	46	451	440	2.23989708919858	
B2	3	47	485	6	0	
B2	4	1	5	404	1.49313476181197	
B2	4	2	29	57	1.56646369645996	
B2	4	3	34	18	2.02972673029468	
B2	4	4	35	194	1.91875414348928	
B2	4	5	40	230	1.86577538067168	
B2	4	6	54	446	1.7893428477237	
B2	4	7	65	281	2.30618654849851	
B2	4	8	66	59	2.1042093746401	
B2	4	9	75	178	0.523665133758592	
B2	4	10	88	343	1.76805955963715	
B2	4	11	95	175	1.26478617077074	
B2	4	12	97	240	1.54921569058954	
B2	4	13	105	53	2.53400219588839	
B2	4	14	115	299	2.32644985271016	
B2	4	15	129	262	1.25362132090821	
B2	4	16	139	91	2.35067041170402	
B2	4	17	148	361	2.44652620471092	
B2	4	18	162	213	1.76289736787657	
B2	4	19	163	315	1.54800850407101	
B2	4	20	174	40	1.51214941991159	
B2	4	21	174	202	1.20344942206882	
B2	4	22	213	197	1.2433388947874	
B2	4	23	213	215	1.62402152571833	
B2	4	24	244	275	2.18742930572064	
B2	4	25	252	110	0.878847150627972	
B2	4	26	272	8	1.70669317327523	
B2	4	27	279	410	1.47945276160481	
B2	4	28	282	470	1.71223072657178	
B2	4	29	288	148	1.3484911172084	
B2	4	30	297	67	0.933217751404693	
B2	4	31	315	38	1.80952312831618	
B2	4	32	321	116	2.7365389720774	
B2	4	33	321	271	1.99305572795646	
B2	4	34	321	448	1.6098133638775	
B2	4	35	340	81	1.79775480255963	
B2	4	36	344	351	1.86440883114445	
B2	4	37	350	52	1.05310825029399	
B2	4	38	357	167	2.98635390501355	
B2	4	39	375	216	2.29979126975763	
B2	4	40	385	413	1.40540832928121	
B2	4	41	386	33	1.3651692603997	
B2	4	42	403	144	1.4135700583473	
B2	4	43	426	397	0.409763154913911	
B2	4	44	428	120	1.95829177535676	
B2	4	45	428	322	0.799242162346188	
B2	4	46	443	217	1.3949003339487	
B2	4	47	448	357	1.36410608220457	
B2	4	48	451	462	0.900490889425077	
B2	4	49	465	76	2.00776614093516	
B2	4	50	467	138	1.41750076695928	
B2	4	51	470	457	1.35653764135368	
B2	4	52	471	20	1.50876157074263	
B2	4	53	480	389	1.36378911230711	
B2	5	1	22	207	1.83242498130095	
